L_um,D_base,n_seeds,dir_D_eff_mean,dir_D_eff_std,neu_D_eff_mean,neu_D_eff_std,porosity_mean,tau_dir_mean,tau_neu_mean
50.0,1e-08,8,4.276242938911914e-13,2.7192716796966946e-13,3.99536960166821e-13,2.6647410469659224e-13,0.0074461872268648,229.01521839105732,247.7003150742339
50.0,1e-07,8,4.276242938911952e-12,2.7192716796967082e-12,3.9953696016681866e-12,2.6647410469659254e-12,0.0074461872268648,229.0152183910566,247.70031507423553
50.0,1e-06,8,4.2762429389118603e-11,2.7192716796967158e-11,3.99536960166816e-11,2.6647410469659446e-11,0.0074461872268648,229.01521839105948,247.70031507423607
50.0,1e-05,8,4.276242938911888e-10,2.71927167969669e-10,3.995369601668223e-10,2.6647410469659004e-10,0.0074461872268648,229.01521839106098,247.70031507423215
50.0,0.0001,8,4.2762429389119965e-09,2.7192716796966827e-09,3.9953696016682685e-09,2.6647410469658936e-09,0.0074461872268648,229.0152183910534,247.70031507422965
50.0,0.001,8,4.276242938911946e-08,2.7192716796967082e-08,3.995369601668242e-08,2.6647410469659158e-08,0.0074461872268648,229.01521839105564,247.70031507423067
50.0,0.01,8,4.258965798662101e-07,2.7421893793358996e-07,3.9789758166851297e-07,2.685218700610884e-07,0.0074461872268648,230.9406053729652,249.64791566532986
100.0,1e-08,8,3.8411115887342853e-13,4.753164003720456e-13,3.582592643217939e-13,4.385720954512726e-13,0.009687463293733975,471.76621993918616,510.2494692587107
100.0,1e-07,8,3.841111588734332e-12,4.7531640037204506e-12,3.582592643217898e-12,4.385720954512709e-12,0.009687463293733975,471.7662199391858,510.24946925870324
100.0,1e-06,8,3.8411115887342793e-11,4.753164003720416e-11,3.58259264321793e-11,4.385720954512695e-11,0.009687463293733975,471.76621993918405,510.2494692587127
100.0,1e-05,8,3.84111158873436e-10,4.753164003720442e-10,3.5825926432179864e-10,4.38572095451278e-10,0.009687463293733975,471.7662199391966,510.24946925870523
100.0,0.0001,8,3.841111588734279e-09,4.7531640037204654e-09,3.582592643217821e-09,4.385720954512746e-09,0.009687463293733975,471.76621993920514,510.2494692587497
100.0,0.001,8,3.700754315987374e-08,4.748450517326534e-08,3.443131283442353e-08,4.378506604894509e-08,0.009687463293733975,478.5438090480037,517.7417491374539
100.0,0.01,8,3.837082980518019e-07,4.7562344723444234e-07,3.578904782067265e-07,4.388542190139964e-07,0.009687463293733975,474.33542683028423,512.7806760598623
200.0,1e-08,8,3.0794111228073913e-12,1.9870604550890167e-12,4.719947190795137e-13,1.4033038443026938e-13,0.015536185428750727,111.18052340061234,373.3602379493078
200.0,1e-07,8,3.079411122807345e-11,1.987060455089055e-11,4.7199471907951724e-12,1.4033038443026264e-12,0.015536185428750727,111.18052340064824,373.3602379492954
200.0,1e-06,8,3.0794111228073967e-10,1.9870604550890187e-10,4.719947190795159e-11,1.4033038443026866e-11,0.015536185428750727,111.18052340061845,373.3602379493046
200.0,1e-05,8,2.8820986843962115e-09,1.883879934280382e-09,1.3900247187259182e-09,2.03335809535042e-09,0.015536185428750727,113.95151398965092,322.81440255612586
200.0,0.0001,8,2.9779217601195033e-08,1.9601347626635096e-08,2.5042927190132666e-08,1.8395754877861485e-08,0.015536185428750727,113.05022184316528,176.39095374429783
200.0,0.001,8,2.963825763565719e-07,2.0166783156714803e-07,7.119971211570184e-08,2.8028259730177864e-08,0.015536185428750727,116.19398957088433,289.2432461044379
200.0,0.01,8,3.0794111228073897e-06,1.9870604550890314e-06,4.719947190795205e-07,1.403303844302575e-07,0.015536185428750727,111.18052340062228,373.36023794928553
