timestamp,seed,L_m,Np,Nt,td_fixed_count,tl_fixed_count,cond_n_throats,cond_n_positive,dir_rate,dir_D_eff,neu_rate_imposed,neu_rate_calc,neu_D_eff,porosity,tau_dir,tau_neu,error
2025-11-19T21:04:27.343449,42,5e-05,122,170,152,70,170,170,8.875312318810484e-15,1.7750624637620966e-10,1e-12,1.0000000000000012e-12,1.6311880399168328e-10,0.019172542195717512,2262.489837930796,2462.0464886187533,
2025-11-19T21:04:33.306597,43,5e-05,120,166,152,70,166,166,6.796636202772063e-14,1.3593272405544129e-09,1e-12,9.999999999999988e-13,1.2968924804931402e-09,0.012430628386802447,191.55330015908626,200.77502402152234,
2025-11-19T21:04:39.140611,44,5e-05,120,166,152,70,166,166,1.8378575731738e-14,3.675715146347601e-10,1e-12,1.000000000000002e-12,3.552259584421063e-10,0.001688946350822441,96.24863562793279,99.59366971503079,
2025-11-19T21:04:44.854792,42,5e-05,140,198,176,78,198,198,5.6232394826440537e-14,1.1246478965288108e-09,1e-12,9.999999999999986e-13,5.747324399313797e-10,0.010116815159879819,188.4290312038508,368.72168484812556,
2025-11-19T21:04:50.836937,43,5e-05,140,198,174,78,198,198,2.7060380535773925e-14,5.412076107154785e-10,1e-12,1.0000000000000054e-12,4.863727124011143e-10,0.00609367100157352,235.84989267175888,262.4402102458333,
2025-11-19T21:04:56.677827,44,5e-05,136,192,170,76,192,192,4.43253977397796e-14,8.865079547955922e-10,1e-12,9.999999999999996e-13,7.70271426208027e-10,0.00698598850785475,165.0691082866104,189.97858755775064,
2025-11-19T21:05:02.872449,42,0.0001,450,728,446,168,728,728,3.819504995574909e-13,3.819504995574909e-09,1e-12,9.999999999999982e-13,9.522512008493419e-10,0.012766582801192632,70.01452700739925,280.83013749844054,
2025-11-19T21:05:08.741386,43,0.0001,450,720,471,176,720,720,7.79643044927244e-14,7.79643044927244e-10,1e-12,1.0000000000000018e-12,5.844026546344632e-10,0.012890020993937941,346.32065245950685,462.0213235917033,
2025-11-19T21:05:14.451481,44,0.0001,456,722,503,186,722,722,1.0490766487154651e-13,1.049076648715465e-09,1e-12,9.99999999999999e-13,7.928261430592265e-10,0.01485322367498946,296.57468391957013,392.43102441054174,
2025-11-19T21:05:20.086284,42,0.0001,835,1388,795,278,1388,1388,1.5629108427596895e-13,1.5629108427596897e-09,1e-12,1.0000000000000034e-12,9.182222873354898e-10,0.012244323849809174,164.10476021401325,279.32355010813416,
