domain_size_um,seed,D_eff,porosity,tortuosity
150.0,0,2.403741e-08,0.009410345,8.200464
150.0,1,2.068302e-08,0.02017265,20.43006
150.0,2,2.184461e-08,0.0068823,6.599482
250.0,0,1.916785e-08,0.01654389,18.07943
250.0,1,2.326488e-08,0.01519717,13.68304
250.0,2,1.827147e-08,0.01483341,17.00545
350.0,0,1.89689e-08,0.01732845,19.13542
350.0,1,1.94392e-08,0.01600025,17.24126
350.0,2,1.87955e-08,0.01383005,15.41312
450.0,0,1.903546e-08,0.01698149,18.68672
450.0,1,1.868301e-08,0.01673802,18.76626
450.0,2,1.783536e-08,0.01632334,19.17113
550.0,0,1.763808e-08,0.0182692,21.69645
550.0,1,1.834619e-08,0.01719875,19.63684
550.0,2,1.839087e-08,0.01743804,19.86168
